DISTRITO_COD;DISTRITO_DESC;ORGANISMO_DESC;ACTIVIDAD_DESC;ACTIVIDAD_CATEGORICA;GRUPO_DESC;INFANTIL;NIÑEZ;ADOLESCENCIA;JOVEN ADULTO;ADULTO;ADULTO MAYOR;NUM_MAXIMO_ASISTENTES;NUM_PLAZAS_OCUPADAS;NUM_PLAZAS_LIBRES;CANT_GRUPOS_EDAD
10;LATINA;C.C. FERNANDO DE LOS RIOS;HISTORIA DEL ARTE;18;1;0;0;0;1;1;1;16;16;0;3
9;MONCLOA-ARAVACA;C.C. JUAN GENOVES (ANTES C.C. ARAVACA);PILATES;1;4;0;0;1;1;1;1;8;8;0;4
19;VICALVARO;CENTRO CULTURAL FUENTE DE SAN PEDRO - VALDERRIVAS;CINE;20;1;1;1;0;0;0;0;14;13;1;2
10;LATINA;CENTRO SOCIO CULTURAL LATINA;CONOCER MADRID;8;3;0;0;1;1;1;1;20;20;0;4
15;CIUDAD LINEAL;C.C. LA ELIPA;VIOLIN;50;2;1;1;1;1;1;1;1;1;0;6
13;PUENTE DE VALLECAS;C.C. LOPE DE VEGA;HISTORIA DEL ARTE;18;1;0;0;1;1;1;1;12;11;1;4
8;FUENCARRAL-EL PARDO;CENTRO INTEGRADO ALFONSO XII;INGLES;14;1;0;0;1;1;1;1;14;9;5;4
10;LATINA;C.C. FERNANDO DE LOS RIOS;RESTAURACION DE MUEBLES;12;4;0;0;1;1;1;1;12;11;1;4
5;CHAMARTIN;C.C. 'NICOLAS SALMERON';HISTORIA DEL ARTE;18;1;0;0;1;1;1;1;20;9;11;4
12;USERA;C.C. ORCASUR;AJEDREZ;17;1;0;1;1;1;1;1;12;3;9;5
4;SALAMANCA;CENTRO SOCIOCULTURAL MAESTRO ALONSO;GIMNASIA DE MANTENIMIENTO;23;5;0;0;1;1;1;1;24;0;24;4
20;SAN BLAS CANILLEJAS;C.C. BUERO VALLEJO;INGLES;14;4;0;0;0;1;1;1;12;12;0;3
6;TETUAN;C.C. EDUARDO URCULO;HISTORIA GRANDES PERSONAJES;51;2;0;0;1;1;1;1;12;8;4;4
15;CIUDAD LINEAL;C.C. LA ELIPA;PIANO;4;40;1;1;1;1;1;1;1;1;0;6
10;LATINA;C.C. SARA MONTIEL;YOGA;9;1;0;0;1;1;1;1;15;15;0;4
16;HORTALEZA;C.C. HORTALEZA;PINTURA;2;3;0;0;1;1;1;1;12;10;2;4
10;LATINA;C.S.C. EL GRECO;HISTORIA DEL ARTE;18;3;0;0;1;1;1;1;10;10;0;4
15;CIUDAD LINEAL;CENTRO SOCIOCULTURAL CIUDAD LINEAL;PILATES;1;3;0;0;1;1;1;1;12;12;0;4
11;CARABANCHEL;C.C. FERNANDO LAZARO CARRETER;BAILES LATINOS;30;2;0;0;1;1;1;1;10;9;1;4
12;USERA;C.C. MESETA DE ORCASITAS;PILATES;1;1;0;0;1;1;1;1;17;17;0;4
10;LATINA;CSC ROSARIO DE ACUÑA;PIANO;4;8;0;0;1;1;1;1;1;1;0;4
4;SALAMANCA;C.C. BUENAVISTA;HISTORIA MODERNA;52;1;0;0;1;1;1;1;18;18;0;4
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;PINTURA;2;1;0;0;1;1;1;1;15;0;15;4
17;VILLAVERDE;C.S. MARCONI;DIBUJO;5;1;0;1;1;1;0;0;10;7;3;3
10;LATINA;C.C. FERNANDO DE LOS RIOS;MASAJE;53;1;0;0;1;1;1;1;14;11;3;4
10;LATINA;CENTRO SOCIO CULTURAL LATINA;PILATES;1;2;0;0;1;1;1;1;13;13;0;4
8;FUENCARRAL-EL PARDO;C.C. ALFREDO KRAUS;HISTORIA DEL ARTE;18;1;0;0;0;1;1;1;18;17;1;3
13;PUENTE DE VALLECAS;CENTRO SOCIOCULTURAL ALBERTO SANCHEZ;FRANCES;7;1;0;0;1;1;1;1;15;15;0;4
11;CARABANCHEL;C.C. FERNANDO LAZARO CARRETER;PILATES;1;8;0;0;1;1;1;1;20;20;0;4
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;YOGA;9;3;0;0;1;1;1;1;11;0;11;4
7;CHAMBERI;C.C. 'GALILEO';FOTOGRAFIA DIGITAL;32;3;0;0;1;1;1;1;12;11;1;4
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;1;2;0;0;1;1;1;1;12;12;0;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';GIMNASIA DE MANTENIMIENTO;23;9;0;0;1;1;1;1;12;0;12;4
5;CHAMARTIN;CENTRO JUVENIL 'LUIS GONZAGA';INGLES;14;3;0;0;1;1;1;1;16;16;0;4
3;RETIRO;C.C. MERCADO DE IBIZA;ACUARELA;15;2;0;0;1;1;1;1;16;16;0;4
14;MORATALAZ;C.S.C. Y JUVENIL MORATALAZ;YOGA;9;1;0;0;1;1;1;1;16;16;0;4
14;MORATALAZ;C.C. EL TORITO;PIANO;4;2;1;1;1;1;1;1;8;8;0;6
9;MONCLOA-ARAVACA;C.C. JULIO CORTAZAR;INGLES;14;4;0;0;0;1;1;1;12;12;0;3
18;VILLA DE VALLECAS;C.C. ZAZUAR;PILATES;1;2;0;0;1;1;1;1;14;14;0;4
17;VILLAVERDE;C.S.C. SANTA PETRONILA;FITNESS;54;3;0;0;1;1;1;1;20;20;0;4
12;USERA;C.C. ORCASUR;INGLES;14;2;0;1;0;0;0;0;11;8;3;1
10;LATINA;CENTRO CULTURAL MIGUEL HERNANDEZ;PIANO;4;1;1;1;0;0;0;0;3;3;0;2
6;TETUAN;C.C. EDUARDO URCULO;FITNESS;54;2;0;0;1;1;1;1;18;18;0;4
7;CHAMBERI;C.C. 'GALILEO';HISTORIA GRANDES PERSONAJES;51;1;0;0;1;1;1;1;12;12;0;4
3;RETIRO;C.C. MERCADO DE IBIZA;CORTE Y CONFECCION;29;4;0;0;1;1;1;1;12;12;0;4
20;SAN BLAS CANILLEJAS;C.C. ANTONIO MACHADO;BAILE EN LINEA;55;2;0;0;1;1;1;1;24;24;0;4
9;MONCLOA-ARAVACA;C.C. JUAN GRIS;CINE;20;1;0;0;1;1;1;1;8;8;0;4
16;HORTALEZA;C.C. FEDERICO CHUECA;PILATES;1;4;0;0;0;1;1;1;16;16;0;3
7;CHAMBERI;C.C. 'GALILEO';APRENDE A LEER UN CUADRO;56;2;0;0;1;1;1;1;12;12;0;4
15;CIUDAD LINEAL;C.C. PRINCIPE DE ASTURIAS;PILATES;1;3;0;0;1;1;1;1;10;10;0;4
